Time,Numerical Velocity,Analytical Velocity
0,0,0
0.01,0.0981,0.0980974
0.02,0.196195,0.19619
0.03,0.294285,0.294277
0.04,0.392369,0.392359
0.05,0.490449,0.490436
0.06,0.588523,0.588507
0.07,0.686592,0.686574
0.08,0.784656,0.784635
0.09,0.882715,0.882691
0.1,0.980768,0.980743
0.11,1.07882,1.07879
0.12,1.17686,1.17683
0.13,1.2749,1.27486
0.14,1.37293,1.3729
0.15,1.47096,1.47092
0.16,1.56898,1.56894
0.17,1.667,1.66696
0.18,1.76501,1.76497
0.19,1.86302,1.86297
0.2,1.96102,1.96097
0.21,2.05902,2.05896
0.22,2.15701,2.15695
0.23,2.255,2.25494
0.24,2.35298,2.35292
0.25,2.45096,2.45089
0.26,2.54893,2.54886
0.27,2.64689,2.64682
0.28,2.74485,2.74478
0.29,2.84281,2.84274
0.3,2.94076,2.94068
0.31,3.03871,3.03863
0.32,3.13665,3.13656
0.33,3.23458,3.2345
0.34,3.33251,3.33242
0.35,3.43044,3.43035
0.36,3.52836,3.52826
0.37,3.62627,3.62618
0.38,3.72418,3.72408
0.39,3.82209,3.82199
0.4,3.91999,3.91988
0.41,4.01788,4.01777
0.42,4.11577,4.11566
0.43,4.21365,4.21354
0.44,4.31153,4.31142
0.45,4.40941,4.40929
0.46,4.50727,4.50716
0.47,4.60514,4.60502
0.48,4.703,4.70287
0.49,4.80085,4.80072
0.5,4.8987,4.89857
0.51,4.99654,4.99641
0.52,5.09438,5.09424
0.53,5.19221,5.19207
0.54,5.29004,5.2899
0.55,5.38786,5.38772
0.56,5.48568,5.48553
0.57,5.58349,5.58334
0.58,5.68129,5.68115
0.59,5.7791,5.77895
0.6,5.87689,5.87674
0.61,5.97468,5.97453
0.62,6.07247,6.07231
0.63,6.17025,6.17009
0.64,6.26803,6.26786
0.65,6.3658,6.36563
0.66,6.46357,6.4634
0.67,6.56133,6.56115
0.68,6.65908,6.65891
0.69,6.75683,6.75665
0.7,6.85458,6.8544
0.71,6.95232,6.95213
0.72,7.05005,7.04987
0.73,7.14778,7.14759
0.74,7.24551,7.24532
0.75,7.34323,7.34303
0.76,7.44094,7.44075
0.77,7.53865,7.53845
0.78,7.63635,7.63615
0.79,7.73405,7.73385
0.8,7.83175,7.83154
0.81,7.92944,7.92923
0.82,8.02712,8.02691
0.83,8.1248,8.12459
0.84,8.22247,8.22226
0.85,8.32014,8.31992
0.86,8.4178,8.41758
0.87,8.51546,8.51524
0.88,8.61311,8.61289
0.89,8.71076,8.71053
0.9,8.8084,8.80817
0.91,8.90604,8.90581
0.92,9.00367,9.00344
0.93,9.1013,9.10106
0.94,9.19892,9.19868
0.95,9.29654,9.2963
0.96,9.39415,9.39391
0.97,9.49176,9.49151
0.98,9.58936,9.58911
0.99,9.68696,9.6867
1,9.78455,9.78429
1.01,9.88214,9.88188
1.02,9.97972,9.97946
1.03,10.0773,10.077
1.04,10.1749,10.1746
1.05,10.2724,10.2722
1.06,10.37,10.3697
1.07,10.4675,10.4673
1.08,10.5651,10.5648
1.09,10.6626,10.6624
1.1,10.7602,10.7599
1.11,10.8577,10.8574
1.12,10.9552,10.955
1.13,11.0528,11.0525
1.14,11.1503,11.15
1.15,11.2478,11.2475
1.16,11.3453,11.345
1.17,11.4428,11.4425
1.18,11.5403,11.54
1.19,11.6378,11.6375
1.2,11.7353,11.735
1.21,11.8328,11.8325
1.22,11.9303,11.93
1.23,12.0277,12.0274
1.24,12.1252,12.1249
1.25,12.2227,12.2224
1.26,12.3201,12.3198
1.27,12.4176,12.4173
1.28,12.515,12.5147
1.29,12.6125,12.6121
1.3,12.7099,12.7096
1.31,12.8073,12.807
1.32,12.9048,12.9044
1.33,13.0022,13.0019
1.34,13.0996,13.0993
1.35,13.197,13.1967
1.36,13.2944,13.2941
1.37,13.3918,13.3915
1.38,13.4892,13.4889
1.39,13.5866,13.5863
1.4,13.684,13.6837
1.41,13.7814,13.781
1.42,13.8788,13.8784
1.43,13.9761,13.9758
1.44,14.0735,14.0731
1.45,14.1709,14.1705
1.46,14.2682,14.2678
1.47,14.3656,14.3652
1.48,14.4629,14.4625
1.49,14.5603,14.5599
1.5,14.6576,14.6572
1.51,14.7549,14.7545
1.52,14.8523,14.8519
1.53,14.9496,14.9492
1.54,15.0469,15.0465
1.55,15.1442,15.1438
1.56,15.2415,15.2411
1.57,15.3388,15.3384
1.58,15.4361,15.4357
1.59,15.5334,15.533
1.6,15.6307,15.6303
1.61,15.7279,15.7275
1.62,15.8252,15.8248
1.63,15.9225,15.9221
1.64,16.0198,16.0193
1.65,16.117,16.1166
1.66,16.2143,16.2138
1.67,16.3115,16.3111
1.68,16.4088,16.4083
1.69,16.506,16.5056
1.7,16.6032,16.6028
1.71,16.7005,16.7
1.72,16.7977,16.7972
1.73,16.8949,16.8945
1.74,16.9921,16.9917
1.75,17.0893,17.0889
1.76,17.1865,17.1861
1.77,17.2837,17.2833
1.78,17.3809,17.3805
1.79,17.4781,17.4776
1.8,17.5753,17.5748
1.81,17.6725,17.672
1.82,17.7696,17.7692
1.83,17.8668,17.8663
1.84,17.964,17.9635
1.85,18.0611,18.0607
1.86,18.1583,18.1578
1.87,18.2554,18.2549
1.88,18.3526,18.3521
1.89,18.4497,18.4492
1.9,18.5468,18.5463
1.91,18.644,18.6435
1.92,18.7411,18.7406
1.93,18.8382,18.8377
1.94,18.9353,18.9348
1.95,19.0324,19.0319
1.96,19.1295,19.129
1.97,19.2266,19.2261
1.98,19.3237,19.3232
1.99,19.4208,19.4203
2,19.5179,19.5174
2.01,19.6149,19.6144
